고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보,latitude,longitude
01-0001,1,종로,2023-07-11 19:53:35.0,0.39,통신양호,"종로구 새문안로9길 9 앞 맨홀(세븐일레븐앞, 현대해상화재빌딩뒤, 백운동천하수박스)",37.5806949,126.9827989
02-0001,2,중,2023-07-11 19:54:00.0,0.38,통신양호,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>",37.5636559,126.9975097
03-0001,3,용산,2023-07-11 19:53:00.0,0.22,통신양호,"용산구 한강대로 지하112앞 1차로측 맨홀(신용산역5번출입구 앞, 용성비즈텔옆)",37.5323,126.99
04-0001,4,성동,2023-07-11 19:53:00.0,0.06,통신양호,성동구 용답중앙13길1옆 맨홀(용답중앙13길1옆~용답중앙길54 옆),37.5635,127.0365
05-0001,5,광진,2023-07-11 19:53:00.0,0.32,통신양호,"광진구 자양로13길41앞 맨홀(자양1동주민센터옆, 자마장공원앞~대원캐슬빌 자양로13가길 2앞)",37.5384,127.0828
06-0001,6,동대문,2023-07-11 19:53:00.0,0.66,통신양호,"동대문구 장한로17길 42옆 맨홀(대광연립옆, 장안1빗물펌프장앞 길)",37.5741982,127.0395092
07-0001,7,중랑,2023-07-11 19:53:00.0,0.17,통신양호,"중랑구 사가정로 397앞 맨홀<코끼리약국 건물(인치과앞), 사가정역 주변>",37.6063,127.093
08-0001,8,성북,2023-07-11 19:53:00.0,0.0,통신양호,성북구 한천로78길 33앞 맨홀(정한빌딩~한천로78길36간 앞),37.59,127.0165
09-0001,9,강북,2023-07-11 19:53:00.0,0.13,통신양호,강북구 도봉로13길 5앞 맨홀(하나은행미아지점앞~하나안경콘택트 도봉로61옆),37.6395,127.0255
10-0001,10,도봉,2023-07-11 19:53:00.0,0.03,통신양호,도봉구 노해로264옆 맨홀(영은교회옆~창동고옆),37.6686,127.0466
11-0001,11,노원,2023-07-11 19:53:00.0,0.22,통신양호,"노원구 동일로173가길 29앞 맨홀(동일로173가길29~동일로173가길28간 중앙차선내, 공릉초등교북축)",37.654,127.0567
12-0001,12,은평,2023-07-11 19:53:13.0,0.19,통신양호,은평구 수색로 257앞 맨홀(모래내목재앞 보도상 맨홀),37.6024,126.9293
13-0001,13,서대문,2023-07-11 19:53:01.0,0.25,통신양호,서대문구 연세로5길 32앞 맨홀(신보건약국앞~현대백화점신촌점뒤 삼거리),37.5790747,126.9367861
14-0001,14,마포,2023-07-11 19:53:00.0,0.06,통신양호," 마포구 동교로 200앞 맨홀  <이대조뼈다귀앞(동교로측),KT신촌지사옆>",37.566571,126.9015317
15-0001,15,양천,2023-07-11 19:53:00.0,0.29,통신양호,양천구 곰달래로14길 16앞 맨홀(용마주택앞),37.5171,126.8663
16-0001,16,강서,2023-07-11 19:53:00.0,0.44,통신양호,강서구 강서로5길 16옆 맨홀(독도참치옆~강서로5나길6옆),37.5509,126.8497
17-0001,17,구로,2023-07-11 19:53:00.0,0.12,통신양호,구로구 경인로20나길 17앞 맨홀(대한통운오류동출장소앞),37.4951999,126.8877
18-0001,18,금천,2023-07-11 19:53:00.0,0.44,통신양호,"금천구 금하로 631앞~금하로 633앞 하수박스 천장        (시흥치과앞~예인치과의원앞간 맨홀, 현대시장입구)",37.4565,126.8954
19-0001,19,영등포,2023-07-11 19:53:00.0,0.5,통신양호,"영등포구 시흥대로173길 14 맨홀(영림초등교뒤, 신대림자이101동앞 사거리), 최초설치2005, 시스템구축2012",37.5262,126.8959
20-0001,20,동작,2023-07-11 19:53:00.0,0.32,통신양호,동작구 동작대로7길 11앞<미니스톱(동작대로7길12) 앞>,37.5120999,126.9395
21-0001,21,관악,2023-07-11 19:52:00.0,0.69,통신양호,"관악구 원신길 11옆 맨홀<동방빌딩 옆,신림2가압장옆(신림로143), 신림3교남측>",37.4782,126.9518
22-0001,22,서초,2023-07-11 19:53:00.0,0.2,통신양호,서초구 방배천로 54앞 전용맨홀(방배경찰서앞~청도빌딩앞 보도내),37.4835,127.0322
23-0001,23,강남,2023-07-11 19:53:00.0,0.05,통신양호,강남구 압구정로20길 6앞 맨홀<심덕빌딩(최용섭피부과)앞~백상빌딩간 횡단보도내>,37.5177,127.0473
24-0001,24,송파,2023-07-11 19:53:00.0,0.36,통신양호,송파구 풍성로26길47앞 맨홀(송파해모로아파트 주차장입구 월편),37.5145,127.1058
25-0001,25,강동,2023-07-11 19:53:00.0,0.26,통신양호,강동구 천중로40길 45앞 사거리 맨홀(SM베스트빌A동옆 사거리),37.53,127.1237
